id,date,ticker,setup_type,conf_label,conf_score,entry,sl,target,partial_tgt,rr,qty,qty_open,qty_closed,capital,hold_days,ev_pct,reason,sector,status,exit_date,exit_price,exit_reason,partial_exit_price,partial_exit_date,partial_pnl,pnl,result,days_held,current_price,live_pnl
PT-001,2026-04-20,IOC.NS,RSI_DIVERGENCE,BUY,5,145.88,136.98,159.23,154.78,1.5,674,0,0,98323,8,2.29,"RSI divergence — price at low, RSI 49 above recent low",ENERGY,closed,2026-06-10,136.98,SL,,,,-5998.6,LOSS,36,136.88,-6066.0
PT-002,2026-04-20,DABUR.NS,OVERSOLD_EXHAUSTION,BUY,4,442.85,414.90,484.78,470.80,1.5,214,0,0,94770,8,4.10,RSI 50 turning up from oversold · volume drying,FMCG,closed,2026-06-10,427.9,DAY_CAP,,,,-3199.3,LOSS,36,427.9,-3199.3
PT-003,2026-04-20,CIPLA.NS,OVERSOLD_EXHAUSTION,BUY,4,1240.80,1240.80,1311.42,1287.88,1.5,120,0,60,148896,8,2.47,RSI 47 turning up from oversold · volume drying,PHARMA,closed,2026-04-27,1311.42,TARGET,1287.88,2026-04-23,2824.8,7062.0,WIN,5,1317.2,4584.0
PT-004,2026-04-21,RELIANCE.NS,RSI_DIVERGENCE,BUY,4,1363.30,1363.3,1456.31,1425.31,1.5,48,0,24,65438,8,1.71,"RSI divergence — price at low, RSI 49 above recent low",ENERGY,closed,2026-06-10,1363.3,SL,1425.31,2026-04-29,1488.24,1488.24,WIN,35,1258.8,-2508.0
PT-005,2026-04-21,LUPIN.NS,TREND_PULLBACK,WATCH,3,2328.70,2229.13,2478.05,2428.27,1.5,30,0,0,69861,5,1.71,RSI 55 pulling back to EMA20 · ADX structural,PHARMA,closed,2026-04-28,2302.7,DAY_CAP,,,,-780.0,LOSS,5,2302.7,-780.0
PT-006,2026-04-22,HEROMOTOCO.NS,RSI_DIVERGENCE,BUY,5,5259.0,4942.88,5733.18,5575.12,1.5,18,0,18,94662.0,8,2.25,"RSI divergence — price at low, RSI 49 above recent low",AUTO,closed,2026-04-24,4942.88,SL,,,,-5690.16,LOSS,2,4961.5,-5355.0
PT-007,2026-04-24,BRITANNIA.NS,RSI_DIVERGENCE,BUY,5,5671.5,5358.03,6141.7,5984.97,1.5,9,0,0,51044.0,8,2.07,"RSI divergence — price at low, RSI 49 above recent low",FMCG,closed,2026-06-10,5358.03,SL,,,,-2821.23,LOSS,32,5171.0,-4504.5
PT-008,2026-04-24,COALINDIA.NS,TREND_PULLBACK,WATCH,3,450.65,450.65,480.68,470.67,1.5,149,0,74,67147.0,5,1.78,RSI 55 pulling back to EMA20 · ADX structural,METAL,closed,2026-04-29,480.68,TARGET,470.67,2026-04-28,1481.48,3733.73,WIN,3,479.9,2193.75
PT-009,2026-04-27,VEDL.NS,TREND_PULLBACK,BUY,4,743.0,694.0,815.0,791.0,1.5,61,0,61,45292,8,2.62,RSI 55 pulling back to EMA20 · ADX structural,METAL,closed,2026-04-30,774.0,DEMERGER_EXIT,,,,1891.0,WIN,3,774.0,1891.0
PT-010,2026-04-27,HDFCBANK.NS,OVERSOLD_EXHAUSTION,WATCH,3,790.0,753.0,845.0,827.0,1.5,81,0,0,63974,5,3.03,Oversold bounce Nifty50,BANKING,closed,2026-06-10,753.0,SL,,,,-2997.0,LOSS,31,746.85,-3495.15
