id,date,ticker,setup_type,conf_label,entry,exit_date,exit_price,exit_reason,sl,target,qty,capital,pnl,result,days_held
PT-006,2026-04-22,HEROMOTOCO.NS,RSI_DIVERGENCE,BUY,5259.0,2026-04-24,4942.88,SL,4942.88,5733.18,18,94662.0,-5690.16,LOSS,2
PT-003,2026-04-20,CIPLA.NS,OVERSOLD_EXHAUSTION,BUY,1240.80,2026-04-27,1311.42,TARGET,1240.80,1311.42,120,148896,7062.0,WIN,5
PT-005,2026-04-21,LUPIN.NS,TREND_PULLBACK,WATCH,2328.70,2026-04-28,2302.7,DAY_CAP,2229.13,2478.05,30,69861,-780.0,LOSS,5
PT-008,2026-04-24,COALINDIA.NS,TREND_PULLBACK,WATCH,450.65,2026-04-29,480.68,TARGET,450.65,480.68,149,67147.0,3733.73,WIN,3
PT-001,2026-04-20,IOC.NS,RSI_DIVERGENCE,BUY,145.88,2026-04-30,142.25,DAY_CAP,136.98,159.23,674,98323,-2446.62,LOSS,8
PT-002,2026-04-20,DABUR.NS,OVERSOLD_EXHAUSTION,BUY,442.85,2026-04-30,441.5,DAY_CAP,414.90,484.78,214,94770,-288.9,LOSS,8
PT-004,2026-04-21,RELIANCE.NS,RSI_DIVERGENCE,BUY,1363.30,2026-04-30,1430.8,DAY_CAP,1363.3,1456.31,48,65438,3108.24,WIN,8
PT-010,2026-04-27,HDFCBANK.NS,OVERSOLD_EXHAUSTION,WATCH,790.0,2026-05-05,772.3,DAY_CAP,753.0,845.0,81,63974,-1433.7,LOSS,5
PT-011,2026-04-27,ITC.NS,OVERSOLD_EXHAUSTION,WATCH,304.0,2026-05-05,311.45,DAY_CAP,304.0,319.0,299,90851,2607.5,WIN,5
PT-012,2026-04-27,TITAN.NS,TREND_PULLBACK,WATCH,4442.0,2026-05-05,4373.6,DAY_CAP,4231.0,4757.0,14,62185,-957.6,LOSS,5
PT-013,2026-04-27,TORNTPHARM.NS,TREND_PULLBACK,WATCH,4220.0,2026-05-05,4275.1,DAY_CAP,4030.0,4505.0,15,63297,826.5,WIN,5
PT-014,2026-04-27,HCLTECH.NS,OVERSOLD_EXHAUSTION,WATCH,1228.0,2026-05-05,1200.2,DAY_CAP,1131.0,1373.0,30,36846,-834.0,LOSS,5
PT-015,2026-04-27,INFY.NS,OVERSOLD_EXHAUSTION,WATCH,1170.0,2026-05-05,1178.1,DAY_CAP,1089.0,1293.0,36,42131,291.6,WIN,5
PT-016,2026-04-27,TCS.NS,OVERSOLD_EXHAUSTION,WATCH,2448.0,2026-05-05,2427.3,DAY_CAP,2264.4,2724.62,10,24480,-207.0,LOSS,5
PT-007,2026-04-24,BRITANNIA.NS,RSI_DIVERGENCE,BUY,5671.5,2026-05-07,5814.0,DAY_CAP,5358.03,6141.7,9,51044.0,1282.5,WIN,8
