ticker,entry_date,exit_date,setup_type,sector,sector_uptrend,entry,exit,sl,target,partial_tgt,partial_taken,rr,qty,capital,pnl,exit_reason,ev_pct,result
HDFCBANK.NS,2016-01-21,2016-02-03,RSI_DIVERGENCE,BANKING,False,235.18,239.97,222.8,253.74,247.55,False,1.5,484,113827.0,2319.93,DAY_CAP,1.84,WIN
HDFCBANK.NS,2016-06-20,2016-06-30,TREND_PULLBACK,BANKING,True,269.44,272.68,262.17,280.36,276.72,False,1.5,556,149811.0,1796.58,DAY_CAP,1.01,WIN
HDFCBANK.NS,2016-07-04,2016-07-15,TREND_PULLBACK,BANKING,True,271.83,283.26,264.21,283.26,279.45,True,1.5,551,149778.0,5250.41,TARGET,1.05,WIN
HDFCBANK.NS,2016-11-10,2016-11-23,TREND_PULLBACK,BANKING,True,296.34,284.15,284.15,314.63,308.53,False,1.5,492,145799.0,-5997.57,SL,1.54,LOSS
HDFCBANK.NS,2017-11-06,2017-11-16,TREND_PULLBACK,BANKING,True,426.65,421.77,414.92,444.23,438.37,False,1.5,351,149753.0,-1711.57,DAY_CAP,1.03,LOSS
HDFCBANK.NS,2017-11-20,2017-11-30,TREND_PULLBACK,BANKING,True,428.87,432.5,418.8,443.99,438.95,False,1.5,349,149677.0,1266.2,DAY_CAP,0.88,WIN
HDFCBANK.NS,2018-02-26,2018-03-09,TREND_PULLBACK,BANKING,True,446.0,432.41,432.41,466.39,459.59,False,1.5,336,149856.0,-4566.19,SL,1.14,LOSS
HDFCBANK.NS,2018-06-25,2018-07-05,TREND_PULLBACK,BANKING,True,491.91,498.67,477.79,513.09,506.03,False,1.5,304,149541.0,2055.79,DAY_CAP,1.08,WIN
HDFCBANK.NS,2018-10-23,2018-11-02,RSI_DIVERGENCE,BANKING,False,466.06,446.75,446.75,495.02,485.37,False,1.5,310,144479.0,-5986.1,SL,1.45,LOSS
HDFCBANK.NS,2018-11-02,2018-11-15,RSI_DIVERGENCE,BANKING,True,457.75,463.78,438.62,486.44,476.88,False,1.5,313,143275.0,1888.83,DAY_CAP,1.46,WIN
HDFCBANK.NS,2019-02-05,2019-02-18,TREND_PULLBACK,BANKING,True,496.4,490.73,481.68,518.47,511.11,False,1.5,302,149912.0,-1712.56,DAY_CAP,1.11,LOSS
HDFCBANK.NS,2019-05-21,2019-05-31,TREND_PULLBACK,BANKING,True,564.41,569.49,543.5,595.77,585.32,False,1.5,265,149569.0,1347.14,DAY_CAP,1.39,WIN
HDFCBANK.NS,2019-10-15,2019-10-27,TREND_PULLBACK,BANKING,True,579.22,586.16,548.37,625.5,610.07,False,1.5,194,112369.0,1345.98,DAY_CAP,2.0,WIN
HDFCBANK.NS,2019-12-17,2019-12-30,TREND_PULLBACK,BANKING,True,601.98,607.21,585.37,626.89,618.58,False,1.5,249,149892.0,1303.06,DAY_CAP,1.03,WIN
HDFCBANK.NS,2020-01-13,2020-01-23,TREND_PULLBACK,BANKING,True,609.03,590.51,590.51,636.82,627.56,False,1.5,246,149822.0,-4556.89,SL,1.14,LOSS
HDFCBANK.NS,2020-09-25,2020-10-08,RSI_DIVERGENCE,BANKING,False,494.43,531.97,469.4,531.97,519.45,True,1.5,239,118168.0,7483.22,TARGET,1.77,WIN
HDFCBANK.NS,2020-12-15,2020-12-28,TREND_PULLBACK,BANKING,True,658.9,669.11,629.23,703.41,688.58,False,1.5,202,133098.0,2061.56,DAY_CAP,1.69,WIN
HDFCBANK.NS,2021-01-04,2021-01-14,TREND_PULLBACK,BANKING,True,670.6,695.58,642.82,712.27,698.38,True,1.5,215,144179.0,5670.46,DAY_CAP,1.55,WIN
HDFCBANK.NS,2021-03-01,2021-03-12,TREND_PULLBACK,BANKING,True,738.28,734.98,690.97,809.23,785.58,False,1.5,126,93023.0,-414.72,DAY_CAP,2.4,LOSS
HDFCBANK.NS,2022-02-01,2022-02-11,RSI_DIVERGENCE,BANKING,True,712.03,722.42,676.83,764.83,747.23,False,1.5,170,121045.0,1766.75,DAY_CAP,1.73,WIN
HDFCBANK.NS,2023-01-02,2023-01-12,TREND_PULLBACK,BANKING,True,783.68,759.27,759.27,820.29,808.09,False,1.5,191,149682.0,-4661.91,SL,1.17,LOSS
HDFCBANK.NS,2023-05-15,2023-05-25,TREND_PULLBACK,BANKING,True,806.34,778.66,778.66,847.86,834.02,False,1.5,186,149979.0,-5148.66,SL,1.29,LOSS
HDFCBANK.NS,2023-07-17,2023-07-27,TREND_PULLBACK,BANKING,True,817.1,814.3,786.28,863.32,847.91,False,1.5,183,149529.0,-512.12,DAY_CAP,1.41,LOSS
HDFCBANK.NS,2023-07-27,2023-08-08,TREND_PULLBACK,BANKING,True,814.3,790.99,790.99,849.27,837.61,False,1.5,184,149831.0,-4288.71,SL,1.07,LOSS
HDFCBANK.NS,2024-07-22,2024-08-01,TREND_PULLBACK,BANKING,True,810.32,808.47,781.66,853.31,838.98,False,1.5,185,149910.0,-342.25,DAY_CAP,1.33,LOSS
HDFCBANK.NS,2024-09-03,2024-09-13,TREND_PULLBACK,BANKING,True,807.76,821.87,786.58,839.53,828.94,False,1.5,185,149435.0,2610.22,DAY_CAP,0.98,WIN
HDFCBANK.NS,2024-10-21,2024-10-31,TREND_PULLBACK,BANKING,True,852.82,856.28,816.91,906.7,888.74,False,1.5,167,142421.0,576.7,DAY_CAP,1.58,WIN
HDFCBANK.NS,2024-11-05,2024-11-18,TREND_PULLBACK,BANKING,True,867.2,832.69,832.69,918.97,901.72,False,1.5,172,149159.0,-5936.24,SL,1.49,LOSS
HDFCBANK.NS,2024-11-25,2024-12-05,TREND_PULLBACK,BANKING,True,880.89,920.43,843.69,936.69,918.09,True,1.5,161,141824.0,6178.55,DAY_CAP,1.58,WIN
HDFCBANK.NS,2025-02-27,2025-03-11,RSI_DIVERGENCE,BANKING,False,839.01,831.51,811.87,879.71,866.15,False,1.5,178,149344.0,-1334.75,DAY_CAP,1.13,LOSS
HDFCBANK.NS,2025-06-23,2025-07-03,TREND_PULLBACK,BANKING,True,961.21,999.59,935.62,999.59,986.8,True,1.5,156,149948.0,4990.07,TARGET,1.0,WIN
HDFCBANK.NS,2025-11-17,2025-11-27,TREND_PULLBACK,BANKING,True,996.55,1009.5,970.27,1035.97,1022.83,False,1.5,150,149482.0,1942.5,DAY_CAP,0.99,WIN
HDFCBANK.NS,2026-01-02,2026-01-14,TREND_PULLBACK,BANKING,True,1001.6,979.61,979.61,1034.59,1023.59,False,1.5,149,149238.0,-3276.51,SL,0.82,LOSS
HDFCBANK.NS,2026-02-16,2026-02-26,RSI_DIVERGENCE,BANKING,True,925.8,898.6,889.16,980.75,962.44,False,1.5,162,149980.0,-4406.4,DAY_CAP,1.38,LOSS
ICICIBANK.NS,2017-08-07,2017-08-18,TREND_PULLBACK,BANKING,True,288.31,276.12,276.12,306.58,300.49,False,1.5,492,141846.0,-5995.3,SL,1.58,LOSS
ICICIBANK.NS,2017-08-23,2017-09-05,TREND_PULLBACK,BANKING,True,286.82,285.86,272.76,307.9,300.87,False,1.5,426,122184.0,-409.16,DAY_CAP,1.84,LOSS
ICICIBANK.NS,2017-12-11,2017-12-21,TREND_PULLBACK,BANKING,True,299.16,287.52,287.52,316.62,310.8,False,1.5,501,149879.0,-5831.47,SL,1.46,LOSS
